20241118-212932.259| -* logFile=logs/demo-cs4105.log
20241118-212932.260| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241118-212932.261| -* rootDir=root_dir
20241118-212932.263| -* mAddr6=ff02::4105:4105
20241118-212932.266| -* mPort=4105
20241118-212932.266| -* mTTL=2
20241118-212932.268| -* loopback=true
20241118-212932.270| -* reuseAddr=false
20241118-212932.272| -* soTimeout=10
20241118-212932.275| -* sleepTime=1000
20241118-212932.277| -* maximumMessageSize=1400
20241118-212932.279| -* maximumAdvertisementPeriod=1000
20241118-212932.281| -* search=false
20241118-212932.283| -* download=false
20241118-212932.303| using interface enp3s0
20241118-212932.305| Multicast Endpoint Created : ff02::4105:4105:4105
20241118-212932.306| joined IPv6 multicast group /[ff02:0:0:0:0:0:4105:4105]:4105
20241118-212932.307| Joined Multicast Group : null
20241118-212932.324| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965372315:20241118-212932.315:advertisement:4105:search=false,download=false:
20241118-212933.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965373315:20241118-212933.315:advertisement:4105:search=false,download=false:
20241118-212934.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965374315:20241118-212934.315:advertisement:4105:search=false,download=false:
20241118-212935.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965375315:20241118-212935.315:advertisement:4105:search=false,download=false:
20241118-212935.426| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965375416:20241118-212935.416:advertisement:4105:search=false,download=false:
20241118-212936.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965376315:20241118-212936.315:advertisement:4105:search=false,download=false:
20241118-212936.417| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965376416:20241118-212936.416:advertisement:4105:search=false,download=false:
20241118-212937.316| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965377316:20241118-212937.316:advertisement:4105:search=false,download=false:
20241118-212937.417| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965377416:20241118-212937.416:advertisement:4105:search=false,download=false:
20241118-212938.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965378315:20241118-212938.315:advertisement:4105:search=false,download=false:
20241118-212938.417| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965378416:20241118-212938.416:advertisement:4105:search=false,download=false:
20241118-212939.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965379315:20241118-212939.315:advertisement:4105:search=false,download=false:
20241118-212939.417| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965379416:20241118-212939.416:advertisement:4105:search=false,download=false:
20241118-212939.480| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965379478:20241118-212939.478:search-request:text1:
20241118-212939.496| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965379494:20241118-212939.494:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965379478:root_dir/dir1/text1-1.txt:
20241118-212939.496| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965379495:20241118-212939.495:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965379478:root_dir/dir1/text1-2.txt:
20241118-212939.498| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965379495:20241118-212939.495:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965379478:root_dir/dir1/text1-3.txt:
20241118-212940.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965380315:20241118-212940.315:advertisement:4105:search=false,download=false:
20241118-212940.419| rx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965380419:20241118-212940.418:advertisement:4105:search=false,download=false:
20241118-212941.315| tx-> :jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965381315:20241118-212941.315:advertisement:4105:search=false,download=false:
ac.uk:1731965379478:root_dir/dir1/text1-1.txt:
20241118-212939.495| tx-> :jz75@pc7-005-l.cs.st-andrews.ac.uk:1731965379495:20241118-212939.495:search-result:jz75@pc7-033-l.cs.st-andrews.ac.uk:1731965379478:root_dir/dir1/text1-2.txt:
