20241115-184932.799| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-184932.800| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-184932.845| -* rootDir=root_dir
20241115-184932.847| -* mAddr6=ff02::4105:4105
20241115-184932.852| -* mPort=4105
20241115-184932.852| -* mTTL=2
20241115-184932.855| -* loopback=true
20241115-184932.856| -* reuseAddr=false
20241115-184932.858| -* soTimeout=1
20241115-184932.860| -* sleepTime=5000
20241115-184932.862| -* maximumMessageSize=500
20241115-184932.864| -* maximumAdvertisementPeriod=1000
20241115-184932.866| -* search=false
20241115-184932.868| -* download=false
20241115-185254.139| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185254.141| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185254.142| -* rootDir=root_dir
20241115-185254.143| -* mAddr6=ff02::4105:4105
20241115-185254.147| -* mPort=4105
20241115-185254.147| -* mTTL=2
20241115-185254.150| -* loopback=true
20241115-185254.152| -* reuseAddr=false
20241115-185254.154| -* soTimeout=1
20241115-185254.156| -* sleepTime=5000
20241115-185254.158| -* maximumMessageSize=500
20241115-185254.160| -* maximumAdvertisementPeriod=1000
20241115-185254.162| -* search=false
20241115-185254.163| -* download=false
20241115-185258.366| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185258.367| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185258.368| -* rootDir=root_dir
20241115-185258.370| -* mAddr6=ff02::4105:4105
20241115-185258.375| -* mPort=4105
20241115-185258.375| -* mTTL=2
20241115-185258.378| -* loopback=true
20241115-185258.380| -* reuseAddr=false
20241115-185258.381| -* soTimeout=1
20241115-185258.383| -* sleepTime=5000
20241115-185258.385| -* maximumMessageSize=500
20241115-185258.387| -* maximumAdvertisementPeriod=1000
20241115-185258.389| -* search=false
20241115-185258.391| -* download=false
20241115-185327.519| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185327.520| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185327.521| -* rootDir=root_dir
20241115-185327.523| -* mAddr6=ff02::4105:4105
20241115-185327.528| -* mPort=4105
20241115-185327.528| -* mTTL=2
20241115-185327.530| -* loopback=true
20241115-185327.532| -* reuseAddr=false
20241115-185327.534| -* soTimeout=1
20241115-185327.536| -* sleepTime=5000
20241115-185327.538| -* maximumMessageSize=500
20241115-185327.540| -* maximumAdvertisementPeriod=1000
20241115-185327.542| -* search=false
20241115-185327.544| -* download=false
20241115-185646.370| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185646.371| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185646.373| -* rootDir=root_dir
20241115-185646.374| -* mAddr6=ff02::4105:4105
20241115-185646.379| -* mPort=4105
20241115-185646.379| -* mTTL=2
20241115-185646.382| -* loopback=true
20241115-185646.384| -* reuseAddr=false
20241115-185646.386| -* soTimeout=1
20241115-185646.388| -* sleepTime=5000
20241115-185646.390| -* maximumMessageSize=500
20241115-185646.391| -* maximumAdvertisementPeriod=1000
20241115-185646.393| -* search=false
20241115-185646.395| -* download=false
20241115-185658.871| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185658.872| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185658.873| -* rootDir=root_dir
20241115-185658.875| -* mAddr6=ff02::4105:4105
20241115-185658.881| -* mPort=4105
20241115-185658.881| -* mTTL=2
20241115-185658.883| -* loopback=true
20241115-185658.885| -* reuseAddr=false
20241115-185658.887| -* soTimeout=1
20241115-185658.889| -* sleepTime=5000
20241115-185658.891| -* maximumMessageSize=500
20241115-185658.893| -* maximumAdvertisementPeriod=1000
20241115-185658.895| -* search=false
20241115-185658.896| -* download=false
20241115-185700.843| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185700.844| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185700.846| -* rootDir=root_dir
20241115-185700.846| -* mAddr6=ff02::4105:4105
20241115-185700.850| -* mPort=4105
20241115-185700.850| -* mTTL=2
20241115-185700.853| -* loopback=true
20241115-185700.855| -* reuseAddr=false
20241115-185700.857| -* soTimeout=1
20241115-185700.859| -* sleepTime=5000
20241115-185700.862| -* maximumMessageSize=500
20241115-185700.864| -* maximumAdvertisementPeriod=1000
20241115-185700.866| -* search=false
20241115-185700.868| -* download=false
20241115-185709.074| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185709.075| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185709.077| -* rootDir=root_dir
20241115-185709.078| -* mAddr6=ff02::4105:4105
20241115-185709.083| -* mPort=4105
20241115-185709.083| -* mTTL=2
20241115-185709.086| -* loopback=true
20241115-185709.088| -* reuseAddr=false
20241115-185709.090| -* soTimeout=1
20241115-185709.092| -* sleepTime=5000
20241115-185709.095| -* maximumMessageSize=500
20241115-185709.097| -* maximumAdvertisementPeriod=1000
20241115-185709.099| -* search=false
20241115-185709.101| -* download=false
20241115-185933.523| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185933.524| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185933.525| -* rootDir=root_dir
20241115-185933.526| -* mAddr6=ff02::4105:4105
20241115-185933.531| -* mPort=4105
20241115-185933.531| -* mTTL=2
20241115-185933.533| -* loopback=true
20241115-185933.535| -* reuseAddr=false
20241115-185933.536| -* soTimeout=1
20241115-185933.538| -* sleepTime=5000
20241115-185933.540| -* maximumMessageSize=500
20241115-185933.542| -* maximumAdvertisementPeriod=1000
20241115-185933.544| -* search=false
20241115-185933.546| -* download=false
20241115-185942.649| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185942.650| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185942.651| -* rootDir=root_dir
20241115-185942.653| -* mAddr6=ff02::4105:4105
20241115-185942.657| -* mPort=4105
20241115-185942.657| -* mTTL=2
20241115-185942.659| -* loopback=true
20241115-185942.661| -* reuseAddr=false
20241115-185942.662| -* soTimeout=1
20241115-185942.664| -* sleepTime=5000
20241115-185942.666| -* maximumMessageSize=500
20241115-185942.668| -* maximumAdvertisementPeriod=1000
20241115-185942.669| -* search=false
20241115-185942.671| -* download=false
20241115-185945.401| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-185945.402| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-185945.403| -* rootDir=root_dir
20241115-185945.405| -* mAddr6=ff02::4105:4105
20241115-185945.411| -* mPort=4105
20241115-185945.411| -* mTTL=2
20241115-185945.413| -* loopback=true
20241115-185945.415| -* reuseAddr=false
20241115-185945.417| -* soTimeout=1
20241115-185945.419| -* sleepTime=5000
20241115-185945.421| -* maximumMessageSize=500
20241115-185945.423| -* maximumAdvertisementPeriod=1000
20241115-185945.425| -* search=false
20241115-185945.427| -* download=false
20241115-190002.603| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-190002.604| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-190002.605| -* rootDir=root_dir
20241115-190002.606| -* mAddr6=ff02::4105:4105
20241115-190002.611| -* mPort=4105
20241115-190002.611| -* mTTL=2
20241115-190002.613| -* loopback=true
20241115-190002.615| -* reuseAddr=false
20241115-190002.618| -* soTimeout=1
20241115-190002.620| -* sleepTime=5000
20241115-190002.621| -* maximumMessageSize=500
20241115-190002.624| -* maximumAdvertisementPeriod=1000
20241115-190002.626| -* search=false
20241115-190002.628| -* download=false
20241115-190041.928| -* logFile=jz75@pc7-033-l.cs.st-andrews.ac.uk-log.log
20241115-190041.929| -* id=jz75@pc7-033-l.cs.st-andrews.ac.uk
20241115-190041.930| -* rootDir=root_dir
20241115-190041.931| -* mAddr6=ff02::4105:4105
20241115-190041.936| -* mPort=4105
20241115-190041.936| -* mTTL=2
